,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
6445,261,0,theta,3,0.054578472,161.9894799,0.103126277
6446,261,0,arima,3,0.02877392,87.5434021,0.055961888
6447,261,1,ets,3,0.017268923,52.99823374,0.035926013
6448,261,1,theta,3,0.035345662,110.4923216,0.073972598
6449,261,1,arima,3,0.019037762,58.57102798,0.039439255
6450,261,2,ets,3,0.017852349,56.66316682,0.036919303
6451,261,2,theta,3,0.04369872,143.0270934,0.092889611
6452,261,2,arima,3,0.035286136,113.275531,0.073116167
6453,261,0,ets,12,0.026121738,78.89908386,0.050102789
6454,261,0,theta,12,0.035281218,111.6951833,0.073014033
6455,261,0,arima,12,0.023038591,71.38109264,0.046100056
6456,261,1,ets,12,0.0292735,90.83093317,0.056274883
6457,261,1,theta,12,0.028193181,90.73576791,0.05732891
6458,261,1,arima,12,0.020892247,66.36542948,0.042124288
6459,261,2,ets,12,0.038410028,118.7418679,0.071045647
6460,261,2,theta,12,0.019725229,63.40918053,0.038966828
6461,261,2,arima,12,0.021698512,68.54332201,0.042116222
13536,270,0,ets,3,0.061155446,76.80290853,0.113986182
13537,270,0,theta,3,0.048283098,61.38158175,0.088954582
13538,270,0,arima,3,0.035991261,46.29802995,0.067324636
13539,270,1,ets,3,0.106879909,113.8116113,0.184611625
13540,270,1,theta,3,0.078654631,87.50430665,0.143459334
13541,270,1,arima,3,0.089152809,97.50541061,0.158335826
13542,270,2,ets,3,0.123748584,110.5617221,0.203163952
13543,270,2,theta,3,0.091453425,84.12565943,0.156265397
13544,270,2,arima,3,0.034771713,34.25063186,0.061407595
13545,270,0,ets,12,0.233573399,201.8186182,0.329852091
13546,270,0,theta,12,0.13719092,129.5577295,0.220000048
13547,270,0,arima,12,0.186724758,166.1296963,0.283684693
13548,270,1,ets,12,0.077346955,77.30436338,0.177706097
13549,270,1,theta,12,0.150333711,167.0834022,0.372825748
13550,270,1,arima,12,0.056813261,55.44269205,0.118195719
13551,270,2,ets,12,0.159377948,324.3026744,0.418043696
13552,270,2,theta,12,0.133623325,263.8144637,0.34098469
13553,270,2,arima,12,0.221418416,486.443821,0.613764515
17532,299,0,ets,3,0.033129748,361.6578769,0.061353716
17533,299,0,theta,3,0.028692111,321.562643,0.056500938
17534,299,0,arima,3,0.030117694,336.0758388,0.058910856
17535,299,1,ets,3,0.022720824,184.6213566,0.042502767
17536,299,1,theta,3,0.026886249,217.5819387,0.048379409
17537,299,1,arima,3,0.032282731,261.7104903,0.055100751
17538,299,2,ets,3,0.025875677,187.6380427,0.054662385
17539,299,2,theta,3,0.016716361,122.1748208,0.0359529
17540,299,2,arima,3,0.013122324,95.83757021,0.025151382
17541,299,0,ets,12,0.060504351,568.6565834,0.134089519
17542,299,0,theta,12,0.039395738,362.8780297,0.084510251
17543,299,0,arima,12,0.054699483,512.318952,0.126817822
17544,299,1,ets,12,0.018449513,177.0161334,0.039568312
17545,299,1,theta,12,0.031856785,293.6112846,0.06048627
17546,299,1,arima,12,0.120150266,1019.179137,0.203630873
17547,299,2,ets,12,0.04808304,435.0652889,0.113192852
17548,299,2,theta,12,0.042089891,366.0629739,0.090339877
17549,299,2,arima,12,0.063394251,529.7966267,0.114213301
12582,322,0,ets,3,0.036693897,378.2793608,0.06855104
12583,322,0,theta,3,0.015691449,165.1089486,0.029738511
12584,322,0,arima,3,0.009605349,103.651168,0.020143838
12585,322,1,ets,3,0.053702737,459.3376399,0.115905128
12586,322,1,theta,3,0.022836176,187.5108086,0.048870597
12587,322,1,arima,3,0.085735562,759.0185199,0.196212617
12588,322,2,ets,3,0.030701425,317.4987455,0.064110495
12589,322,2,theta,3,0.007837652,78.11218617,0.015302079
12590,322,2,arima,3,0.017239219,175.8372283,0.036139604
12591,322,0,ets,12,0.060947623,640.336942,0.137911326
12592,322,0,theta,12,0.0109112,107.3518001,0.022225455
12593,322,0,arima,12,0.052663753,546.0841903,0.11727489
12594,322,1,ets,12,0.030849575,335.3393613,0.062188718
12595,322,1,theta,12,0.029295033,318.5029637,0.058878806
12596,322,1,arima,12,0.02756311,301.6382611,0.056018822
12597,322,2,ets,12,0.014138402,152.4690461,0.028923434
12598,322,2,theta,12,0.013676221,147.4610397,0.029548275
12599,322,2,arima,12,0.013729046,148.0385398,0.02830466
4968,365,0,ets,3,0.057270116,541.4712045,0.09754471
4969,365,0,theta,3,0.0375472,354.6465739,0.06306754
4970,365,0,arima,3,0.029466588,280.5069814,0.048860381
4971,365,1,ets,3,0.016994175,154.2390044,0.034873667
4972,365,1,theta,3,0.017934282,165.2083685,0.037680879
4973,365,1,arima,3,0.015994648,145.2497104,0.032044991
4974,365,2,ets,3,0.04875657,432.5414615,0.117636703
4975,365,2,theta,3,0.05630196,483.9556484,0.12068429
4976,365,2,arima,3,0.036625836,313.3816091,0.076963739
