,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
14,2,160,12,12,2,0.009175994,2196.720046,0.018127832
15,0,160,12,3,2,0.007753934,444.1777344,0.015685302
16,1,160,12,3,2,0.020271157,1176.052495,0.041444148
17,2,160,12,3,2,0.010091171,579.4292507,0.020455859
0,0,162,12,12,0,0.048414231,2152.074951,0.102218371
1,1,162,12,12,0,0.06865089,2843.938613,0.126024127
2,2,162,12,12,0,0.064360214,2826.30845,0.129895296
3,0,162,12,3,0,0.073919666,764.5197754,0.130179825
4,1,162,12,3,0,0.049749355,516.0002953,0.088259333
5,2,162,12,3,0,0.06655631,679.4438286,0.11852426
6,0,162,12,12,1,0.231678899,13150.72583,0.676930104
7,1,162,12,12,1,0.116274526,4763.999889,0.216739665
8,2,162,12,12,1,0.235925465,13466.20113,0.693943548
9,0,162,12,3,1,0.072492768,870.5957031,0.160792714
10,1,162,12,3,1,0.065504988,686.2160961,0.121891658
11,2,162,12,3,1,0.044449311,519.2222838,0.094542864
12,0,162,12,12,2,0.064367861,4835.005615,0.141415686
13,1,162,12,12,2,0.31532913,16851.86267,0.476802629
14,2,162,12,12,2,0.062930882,4716.936971,0.138050502
15,0,162,12,3,2,0.125374939,1389.248535,0.21881876
16,1,162,12,3,2,0.121201223,1348,0.213014278
17,2,162,12,3,2,0.116059987,1296.765458,0.20525836
0,0,200,12,12,0,0.13866091,5286.514526,0.237531217
1,1,200,12,12,0,0.12117148,4691.785663,0.212023065
2,2,200,12,12,0,0.134735789,5154.636093,0.230604169
3,0,200,12,3,0,0.115574465,1511.937988,0.26160387
4,1,200,12,3,0,0.149996578,1509.1005,0.260833872
5,2,200,12,3,0,0.029767295,354.9742315,0.06142374
6,0,200,12,12,1,0.061773603,2087.834473,0.111889599
7,1,200,12,12,1,0.032241257,1123.072673,0.058528427
8,2,200,12,12,1,0.039128032,1351.275801,0.070119734
9,0,200,12,3,1,0.082084809,952.8103027,0.168843426
10,1,200,12,3,1,0.141900306,1411.670942,0.247833598
11,2,200,12,3,1,0.020657604,234.0804055,0.041522737
